,비고,수업시간표,대학,교수이름,시간표,이수구분,온/오프
0,[전환(화상)],화C 목C,일송자유교양대학,김설,대학영어1,기초,[전환(화상)]
1,[전환(화상)],월5,일송자유교양대학,홍순태,대학영어2,기초,[전환(화상)]
2,[전환(화상)],월7,일송자유교양대학,홍순태,대학영어2,기초,[전환(화상)]
3,[전환(화상)],화B 목B,일송자유교양대학,김설,대학영어2,기초,[전환(화상)]
4,[전환(화상)],월3,일송자유교양대학,김설,대학영어2,기초,[전환(화상)]
5,[전환(화상)],화D 목D,일송자유교양대학,김초록,대학영어2,기초,[전환(화상)]
6,[전환(화상)],화B 목B,일송자유교양대학,김초록,대학영어2,기초,[전환(화상)]
7,[전환(화상)],화D 목D,일송자유교양대학,김초록,대학영어2,기초,[전환(화상)]
8,[전환(화상)],화B 목B,일송자유교양대학,김초록,대학영어2,기초,[전환(화상)]
9,[전환(화상)],화D 목D,일송자유교양대학,이선아,대학영어2,기초,[전환(화상)]
10,[원어수업][전환(화상)],월7,일송자유교양대학,김영화,대학영어3,기초,[전환(화상)]
11,[전환(화상)],화E 목E,일송자유교양대학,김영화,대학영어3,기초,[전환(화상)]
12,[원어수업][전환(화상)],화D 목D,일송자유교양대학,최은옥,대학영어3,기초,[전환(화상)]
13,[원어수업][전환(화상)],화E 목E,일송자유교양대학,최은옥,대학영어3,기초,[전환(화상)]
14,[전환(화상)],화B 목B,일송자유교양대학,최은옥,대학영어3,기초,[전환(화상)]
15,[전환(화상)],월5,일송자유교양대학,BAEK THOMAS SEUNGWUN,대학영어3,기초,[전환(화상)]
16,[전환(화상)],월3,일송자유교양대학,BAEK THOMAS SEUNGWUN,대학영어3,기초,[전환(화상)]
17,[전환(화상)],화D 목D,일송자유교양대학,BAEK THOMAS SEUNGWUN,대학영어3,기초,[전환(화상)]
18,[전환(화상)],월5,일송자유교양대학,BAEK THOMAS SEUNGWUN,대학영어3,기초,[전환(화상)]
19,[전환(화상)],월3,일송자유교양대학,BAEK THOMAS SEUNGWUN,대학영어3,기초,[전환(화상)]
20,[전환(화상)],화D 목D,일송자유교양대학,BAEK THOMAS SEUNGWUN,대학영어3,기초,[전환(화상)]
21,[원어수업][전환(화상)],화E 목E,일송자유교양대학,하재선,대학영어3,기초,[전환(화상)]
22,[원어수업][전환(화상)],화F 목F,일송자유교양대학,하재선,대학영어3,기초,[전환(화상)]
23,[전환(화상)],화D 목D,일송자유교양대학,하재선,대학영어3,기초,[전환(화상)]
24,[전환(화상)],화D 목D,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
25,[전환(화상)],화F 목F,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
26,[전환(화상)],월1,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
27,[전환(화상)],화B 목B,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
28,[전환(화상)],수2 금1,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
29,[원어수업][전환(화상)],화B 목B,일송자유교양대학,오선희,대학영어3,기초,[전환(화상)]
30,[원어수업][전환(화상)],화C 목C,일송자유교양대학,오선희,대학영어3,기초,[전환(화상)]
31,[원어수업][전환(화상)],화E 목E,일송자유교양대학,오선희,대학영어3,기초,[전환(화상)]
32,[원어수업][전환(화상)],월7,일송자유교양대학,김영화,대학영어3,기초,[전환(화상)]
33,[전환(화상)],화E 목E,일송자유교양대학,김영화,대학영어3,기초,[전환(화상)]
34,[원어수업][전환(화상)],월1,일송자유교양대학,권은경,대학영어3,기초,[전환(화상)]
35,[원어수업][전환(화상)],월3,일송자유교양대학,권은경,대학영어3,기초,[전환(화상)]
36,[전환(화상)],화B 목B,일송자유교양대학,권은경,대학영어3,기초,[전환(화상)]
37,[전환(화상)],수4 금3,일송자유교양대학,박미경,대학영어3,기초,[전환(화상)]
38,[전환(화상)],화C 목C,일송자유교양대학,박미경,대학영어3,기초,[전환(화상)]
39,[전환(화상)],월7,일송자유교양대학,이지연,대학영어3,기초,[전환(화상)]
40,[전환(화상)],월5,일송자유교양대학,이지연,대학영어3,기초,[전환(화상)]
41,[전환(화상)],수6 금5,일송자유교양대학,FREY BRITT FRANKLIN,대학영어3,기초,[전환(화상)]
42,[전환(화상)],화A 목A,일송자유교양대학,FREY BRITT FRANKLIN,대학영어3,기초,[전환(화상)]
43,[원어수업][전환(화상)],화C 목C,일송자유교양대학,이선아,대학영어3,기초,[전환(화상)]
44,[전환(화상)],월5,일송자유교양대학,이선아,대학영어3,기초,[전환(화상)]
45,[전환(화상)],월7,일송자유교양대학,이재선,대학영어3,기초,[전환(화상)]
46,[전환(화상)],화B 목B,일송자유교양대학,이재선,대학영어3,기초,[전환(화상)]
47,[전환(화상)],월5,일송자유교양대학,ROBINSON KEITH MICHAEL,대학영어3,기초,[전환(화상)]
48,[전환(화상)],수2 금1,일송자유교양대학,ROBINSON KEITH MICHAEL,대학영어3,기초,[전환(화상)]
49,[전환(화상)],수4 금3,일송자유교양대학,ROBINSON KEITH MICHAEL,대학영어3,기초,[전환(화상)]
50,[전환(화상)],화A 목A,일송자유교양대학,ROBINSON KEITH MICHAEL,대학영어3,기초,[전환(화상)]
51,[전환(화상)],월3,일송자유교양대학,ROBINSON KEITH MICHAEL,대학영어3,기초,[전환(화상)]
52,[원어수업][전환(화상)],화D 목D,일송자유교양대학,최은옥,대학영어3,기초,[전환(화상)]
53,[원어수업][전환(화상)],화E 목E,일송자유교양대학,최은옥,대학영어3,기초,[전환(화상)]
54,[전환(화상)],화B 목B,일송자유교양대학,최은옥,대학영어3,기초,[전환(화상)]
55,[원어수업][전환(화상)],화C 목C,일송자유교양대학,이선아,대학영어3,기초,[전환(화상)]
56,[전환(화상)],월5,일송자유교양대학,이선아,대학영어3,기초,[전환(화상)]
57,[전환(화상)],월7,일송자유교양대학,이지연,대학영어3,기초,[전환(화상)]
58,[전환(화상)],월5,일송자유교양대학,이지연,대학영어3,기초,[전환(화상)]
59,[전환(화상)],화D 목D,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
60,[전환(화상)],화F 목F,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
61,[전환(화상)],월1,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
62,[전환(화상)],화B 목B,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
63,[전환(화상)],수2 금1,일송자유교양대학,RAY ALLEN BRUCE,대학영어3,기초,[전환(화상)]
64,[원어수업][전환(화상)],월1,일송자유교양대학,권은경,대학영어3,기초,[전환(화상)]
65,[원어수업][전환(화상)],월3,일송자유교양대학,권은경,대학영어3,기초,[전환(화상)]
66,[전환(화상)],화B 목B,일송자유교양대학,권은경,대학영어3,기초,[전환(화상)]
67,[원어수업][전환(화상)],화E 목E,일송자유교양대학,하재선,대학영어3,기초,[전환(화상)]
68,[원어수업][전환(화상)],화F 목F,일송자유교양대학,하재선,대학영어3,기초,[전환(화상)]
69,[전환(화상)],화D 목D,일송자유교양대학,하재선,대학영어3,기초,[전환(화상)]
70,[전환(화상)],월1,일송자유교양대학,박미경,대학영어4,기초,[전환(화상)]
71,[전환(화상)],월3,일송자유교양대학,박미경,대학영어4,기초,[전환(화상)]
72,[전환(화상)],화A 목A,일송자유교양대학,박미경,대학영어4,기초,[전환(화상)]
73,[전환(화상)],화F 목F,일송자유교양대학,박미경,대학영어4,기초,[전환(화상)]
74,[전환(화상)],수2 금1,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
75,[전환(화상)],월5,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
76,[전환(화상)],화E 목E,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
77,[원어수업][전환(화상)],화C 목C,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
78,[전환(화상)],월7,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
79,[원어수업][전환(화상)],월1,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
80,[원어수업][전환(화상)],화C 목C,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
81,[원어수업][전환(화상)],화D 목D,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
82,[전환(화상)],수2 금1,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
83,[전환(화상)],월5,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
84,[전환(화상)],화E 목E,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
85,[원어수업][전환(화상)],화C 목C,일송자유교양대학,FREY BRITT FRANKLIN,대학영어4,기초,[전환(화상)]
86,[전환(화상)],월7,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
87,[원어수업][전환(화상)],월1,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
88,[원어수업][전환(화상)],화C 목C,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
89,[원어수업][전환(화상)],화D 목D,일송자유교양대학,PETERSON JOSHUA,대학영어4,기초,[전환(화상)]
90,[전환(화상)],화D 목D,일송자유교양대학,이재선,대학영어4,기초,[전환(화상)]
91,[전환(화상)],화E 목E,일송자유교양대학,이재선,대학영어4,기초,[전환(화상)]
92,[전환(화상)],화F 목F,일송자유교양대학,이재선,대학영어4,기초,[전환(화상)]
93,[전환(화상)],화C 목C,일송자유교양대학,BAEK THOMAS SEUNGWUN,대학영어4,기초,[전환(화상)]
94,[전환(화상)],화B 목B,일송자유교양대학,ROBINSON KEITH MICHAEL,대학영어4,기초,[전환(화상)]
95,[전환(화상)],월5,일송자유교양대학,김영화,영어읽기연습,기초,[전환(화상)]
96,,월3,일송자유교양대학,PETERSON JOSHUA,실용영어회화,기초,[오프라인]
97,[전환(동영상)],수7,일송자유교양대학,김동일,컴퓨팅사고와문제해결,기초,[전환(동영상)]
98,[전환(동영상)],온라인1,일송자유교양대학,원대식,대학생을위한실용금융,일반교양,[전환(동영상)]
99,[전환(동영상)],화B 목B,일송자유교양대학,김양선,문학의이해,일반교양,[전환(동영상)]
100,[전환(화상)],월1,일송자유교양대학,전은정,일어1,기초,[전환(화상)]
101,[전환(화상)],월3,일송자유교양대학,전은정,일어1,기초,[전환(화상)]
102,[전환(동영상)],화C 목C,일송자유교양대학,HATTORI ATSUKO,일어1,기초,[전환(동영상)]
103,[전환(동영상)],화D 목D,일송자유교양대학,HATTORI ATSUKO,일어1,기초,[전환(동영상)]
104,[전환(화상)],월5,일송자유교양대학,김현주,일어1,기초,[전환(화상)]
105,[전환(화상)],월7,일송자유교양대학,김현주,일어1,기초,[전환(화상)]
106,[전환(화상)],화E 목E,일송자유교양대학,김현희,일어1,기초,[전환(화상)]
107,[전환(동영상)],화B 목B,일송자유교양대학,권동순,일어1,기초,[전환(동영상)]
108,[전환(동영상)],화D 목D,일송자유교양대학,권동순,일어2,기초,[전환(동영상)]
109,[전환(화상)],화B 목B,일송자유교양대학,오현열,현대일본의사회와문화,일반교양,[전환(화상)]
110,[전환(동영상)],월5,일송자유교양대학,윤숙,영상문학,일반교양,[전환(동영상)]
111,[전환(동영상)],월7,일송자유교양대학,윤숙,영상문학,일반교양,[전환(동영상)]
112,[전환(화상)],화B 목B,일송자유교양대학,임홍연,언어의이해,일반교양,[전환(화상)]
113,[전환(동영상)],수4 금3,일송자유교양대학,이내주,서양사속의고전과사상,일반교양,[전환(동영상)]
114,[동영상 콘텐츠],온라인1,일송자유교양대학,손병홍,논리와비판적사고,일반교양,[동영상 콘텐츠]
115,[동영상 콘텐츠]본수강신청때 오픈:학년별로 신청 가능,온라인1,일송자유교양대학,오진탁,죽음의철학적접근,일반교양,[동영상 콘텐츠]
116,[전환(동영상)],화E 목E,일송자유교양대학,성옥례,중국문학산책,일반교양,[전환(동영상)]
117,[전환(동영상)],화D 목D,일송자유교양대학,양태근,현대중국사회의이해,일반교양,[전환(동영상)]
118,[전환(동영상)],월7,일송자유교양대학,최태강,러시아의이해,일반교양,[전환(동영상)]
119,[전환(화상)],월7,일송자유교양대학,장춘익,철학의이해,일반교양,[전환(화상)]
120,[전환(화상)],화C 목C,일송자유교양대학,이용권,러시아와동북아관계의이해,일반교양,[전환(화상)]
121,[전환(동영상)],월1,일송자유교양대학,김기성,몽골문화의이해,일반교양,[전환(동영상)]
122,[전환(화상)],월7,일송자유교양대학,노은미,서양소설속의사랑과결혼,일반교양,[전환(화상)]
123,[전환(화상)],월3,일송자유교양대학,송승철,세계화와언어,일반교양,[전환(화상)]
124,[전환(동영상)],월3,일송자유교양대학,강지희,전통문화와한문학,일반교양,[전환(동영상)]
125,[전환(화상)],화C 목C,일송자유교양대학,김판수,현대사회의이해,일반교양,[전환(화상)]
126,[전환(화상)],화D 목D,일송자유교양대학,김여진,현대사회와사회복지,일반교양,[전환(화상)]
127,[전환(동영상)],월3,일송자유교양대학,최지혜,뉴미디어와미래사회,일반교양,[전환(동영상)]
128,[전환(동영상)],월5,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
129,[전환(동영상)],월1,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
130,[전환(동영상)],월5,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
131,[전환(동영상)],월1,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
132,[전환(동영상)],목7,일송자유교양대학,방기석,기업가정신과창업,일반교양,[전환(동영상)]
133,[전환(동영상)],화A 목A,일송자유교양대학,노혁진,교양고고학,일반교양,[전환(동영상)]
134,[전환(화상)],월5,일송자유교양대학,윤주한,미학의이해,일반교양,[전환(화상)]
135,[전환(화상)],화C 목C,일송자유교양대학,오현열,일본과동아시아,일반교양,[전환(화상)]
136,[전환(동영상)],월5,일송자유교양대학,강지희,한시의이해와감상,일반교양,[전환(동영상)]
137,[전환(화상)],화E 목E,일송자유교양대학,심보경,고전속인물탐구,일반교양,[전환(화상)]
138,[전환(동영상)],금1,일송자유교양대학,김태영,스페인어,기초,[전환(동영상)]
139,[전환(동영상)],금5,일송자유교양대학,김태영,스페인어,기초,[전환(동영상)]
140,[전환(화상)],화B 목B,일송자유교양대학,정지혜,중국어2,기초,[전환(화상)]
141,[전환(화상)]본과생 수강불가.,화A 목A,일송자유교양대학,정지혜,중국어1,기초,[전환(화상)]
142,[전환(동영상)]본과생 수강불가.,월5,일송자유교양대학,주준영,중국어1,기초,[전환(동영상)]
143,[전환(동영상)]본과생 수강불가.,월3,일송자유교양대학,손예나,중국어1,기초,[전환(동영상)]
144,[전환(동영상)]본과생 수강불가.,월7,일송자유교양대학,손예나,중국어1,기초,[전환(동영상)]
145,[전환(동영상)]본과생 수강불가,화B 목B,일송자유교양대학,노선아,중국어1,기초,[전환(동영상)]
146,[전환(동영상)]본과생 수강불가.,화C 목C,일송자유교양대학,이설연,중국어1,기초,[전환(동영상)]
147,[전환(동영상)]본과생 수강불가.,화D 목D,일송자유교양대학,이설연,중국어1,기초,[전환(동영상)]
148,[전환(동영상)]본과생 수강불가.,화D 목D,일송자유교양대학,김창호,중국어1,기초,[전환(동영상)]
149,[전환(동영상)]본과생 수강불가.,화E 목E,일송자유교양대학,김창호,중국어1,기초,[전환(동영상)]
150,[동영상 콘텐츠],온라인7,일송자유교양대학,이은우,불어,기초,[동영상 콘텐츠]
151,[전환(동영상)],금7,일송자유교양대학,이은우,불어,기초,[전환(동영상)]
152,[동영상 콘텐츠],온라인7,일송자유교양대학,이은우,불어,기초,[동영상 콘텐츠]
153,[전환(동영상)],금7,일송자유교양대학,이은우,불어,기초,[전환(동영상)]
154,[전환(동영상)],월1,일송자유교양대학,남일우,독어,기초,[전환(동영상)]
155,[전환(동영상)],월5,일송자유교양대학,남일우,독어,기초,[전환(동영상)]
156,[전환(동영상)],월5,일송자유교양대학,김기성,현대몽골어,기초,[전환(동영상)]
157,[전환(동영상)],수6 금5,일송자유교양대학,이내주,서양문화사,일반교양,[전환(동영상)]
158,[전환(동영상)],화E 목E,일송자유교양대학,이윤정,한국사의이해,일반교양,[전환(동영상)]
159,[전환(화상)],화F 목F,일송자유교양대학,최봉준,한국사의이해,일반교양,[전환(화상)]
160,[전환(동영상)],월7,일송자유교양대학,강지희,집중한문,일반교양,[전환(동영상)]
161,[블렌디드]지정학과 1학년 외,화A 목A,일송자유교양대학,박승용,창의코딩웹,기초,[블렌디드]
162,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,신미영,창의코딩웹,기초,[동영상 콘텐츠]
163,[플립러닝]지정학과 1학년 외,화B 목B,일송자유교양대학,신미영,창의코딩웹,기초,[플립러닝]
164,[플립러닝]지정학과 1학년 외,화E 목E,일송자유교양대학,신미영,창의코딩웹,기초,[플립러닝]
165,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김유정,창의코딩웹,기초,[동영상 콘텐츠]
166,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김유정,창의코딩웹,기초,[동영상 콘텐츠]
167,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김유정,창의코딩웹,기초,[동영상 콘텐츠]
168,[플립러닝]지정학과 1학년 외,화A 목A,일송자유교양대학,김은주,창의코딩웹,기초,[플립러닝]
169,[플립러닝]지정학과 1학년 외,화B 목B,일송자유교양대학,김은주,창의코딩웹,기초,[플립러닝]
170,[플립러닝]지정학과 1학년 외,화E 목E,일송자유교양대학,김은주,창의코딩웹,기초,[플립러닝]
171,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,이득주,창의코딩웹,기초,[동영상 콘텐츠]
172,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,노재옥,창의코딩파이썬,기초,[동영상 콘텐츠]
173,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,방기석,창의코딩파이썬,기초,[동영상 콘텐츠]
174,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,방기석,창의코딩파이썬,기초,[동영상 콘텐츠]
175,[전환(동영상)],화E 목E,일송자유교양대학,김인규,경제학개론,일반교양,[전환(동영상)]
176,[전환(화상)],월5,일송자유교양대학,노석재,경제학개론,일반교양,[전환(화상)]
177,[전환(화상)],월1,일송자유교양대학,나정대,사회학개론,일반교양,[전환(화상)]
178,[전환(동영상)],화A,일송자유교양대학,최우령,사회속의법의이해,일반교양,[전환(동영상)]
179,[전환(동영상)],월7,일송자유교양대학,김상훈,사회속의법의이해,일반교양,[전환(동영상)]
180,[전환(화상)],화D 목D,일송자유교양대학,김남이,현대사회와여성,일반교양,[전환(화상)]
181,폐강 예정 과목,화B 목B,일송자유교양대학,김남이,현대사회와여성,일반교양,[오프라인]
182,[전환(화상)],화D 목D,일송자유교양대학,김남이,현대사회와여성,일반교양,[전환(화상)]
183,폐강 예정 과목,화B 목B,일송자유교양대학,김남이,현대사회와여성,일반교양,[오프라인]
184,[전환(동영상)],화5,일송자유교양대학,김지일,교육학의이해,일반교양,[전환(동영상)]
185,[전환(화상)],수2 금1,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
186,[전환(화상)],화D 목D,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
187,[전환(화상)],수2 금1,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
188,[전환(화상)],화D 목D,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
189,[전환(동영상)],금6,일송자유교양대학,이재웅,심리학의이해,일반교양,[전환(동영상)]
190,[전환(동영상)],화B 목B,일송자유교양대학,노상선,심리학의이해,일반교양,[전환(동영상)]
191,1학년 수강 불가,수2,일송자유교양대학,김유정,디지털리터러시1,기초,[오프라인]
192,1학년 수강 불가,화A 목A,일송자유교양대학,이덕영,디지털리터러시1,기초,[오프라인]
193,1학년 수강 불가,화A 목A,일송자유교양대학,정연진,디지털리터러시1,기초,[오프라인]
194,1학년 수강 불가,화B 목B,일송자유교양대학,정연진,디지털리터러시1,기초,[오프라인]
195,1학년 수강 불가,화D 목D,일송자유교양대학,박승용,디지털리터러시1,기초,[오프라인]
196,1학년 수강 불가,화D 목D,일송자유교양대학,김병관,디지털리터러시1,기초,[오프라인]
197,1학년 수강 불가,월6,일송자유교양대학,김유정,디지털리터러시2,기초,[오프라인]
198,1학년 수강 불가,화2,일송자유교양대학,김유정,디지털리터러시2,기초,[오프라인]
199,1학년 수강 불가,화B 목B,일송자유교양대학,이덕영,디지털리터러시2,기초,[오프라인]
200,[전환(동영상)]1학년 수강 불가,화A 목A,일송자유교양대학,이성룡,디지털리터러시2,기초,[전환(동영상)]
201,1학년 수강 불가,화B 목B,일송자유교양대학,이성룡,디지털리터러시2,기초,[오프라인]
202,[전환(동영상)]1학년 수강 불가,화E 목E,일송자유교양대학,이성룡,디지털리터러시2,기초,[전환(동영상)]
203,[전환(동영상)],월1,일송자유교양대학,장윤정,외국문화와국제매너,일반교양,[전환(동영상)]
204,[전환(동영상)],월3,일송자유교양대학,장윤정,외국문화와국제매너,일반교양,[전환(동영상)]
205,[동영상 콘텐츠]미디어스쿨및언론방송,월3,일송자유교양대학,강명현,현대방송의이해,일반교양,[동영상 콘텐츠]
206,[전환(동영상)]의대/간호대 제외한 1,월3,일송자유교양대학,이정근,진로설계,일반교양,[전환(동영상)]
207,[전환(동영상)]의대/간호대 제외 3,수5,일송자유교양대학,이정근,취업설계,일반교양,[전환(동영상)]
208,[전환(화상)],화B 목B,일송자유교양대학,최영재,행복학개론,일반교양,[전환(화상)]
209,[전환(화상)],화C 목C,일송자유교양대학,고태규,여행과문명,일반교양,[전환(화상)]
210,[전환(동영상)],월3,일송자유교양대학,이지혜,인생의사계절,일반교양,[전환(동영상)]
211,[전환(동영상)],수5,일송자유교양대학,김지일,융복합적문제해결의프랙시스,일반교양,[전환(동영상)]
212,[전환(화상)],화B 목B,일송자유교양대학,이충언,한국경제의현재와미래,일반교양,[전환(화상)]
213,[전환(동영상)]외국인 대상 과목,화B 목B,일송자유교양대학,이한범,고급한국어,기초,[전환(동영상)]
